Date,Ticker,Call Volume,Put Volume,P/C Ratio,Time
2025-05-28,GAIN,2,5,2.5,11:48:00
2025-05-28,IMMP,8,1,0.12,11:48:00
2025-05-28,GME,208063,86259,0.41,17:01:00
2025-05-28,TSLA,605797,366767,0.61,17:01:00
2025-05-28,AMC,99365,36360,0.37,17:01:00
2025-05-28,AAPL,168789,102645,0.61,17:01:00
2025-05-28,NVDA,1082061,723356,0.67,17:01:00
2025-05-28,BYSI,215,0,0,17:01:00
2025-05-28,SLSR,1474,0,0,17:01:00
2025-05-28,STKS,81,702,8.67,17:01:00
2025-05-28,GAIN,2,5,2.5,17:01:00
2025-05-28,IMMP,8,1,0.12,17:01:00
2025-05-28,GME,215422,86479,0.4,23:13:00
2025-05-28,TSLA,605798,366804,0.61,23:13:00
2025-05-28,AMC,99365,36385,0.37,23:13:00
2025-05-28,AAPL,168789,102653,0.61,23:13:00
2025-05-28,NVDA,1082079,723365,0.67,23:13:00
2025-05-28,BYSI,215,0,0,23:13:00
2025-05-28,SLSR,1474,0,0,23:13:00
2025-05-28,STKS,81,702,8.67,23:13:00
2025-05-28,GAIN,2,5,2.5,23:13:00
2025-05-28,IMMP,8,1,0.12,23:13:00
2025-05-29,GME,215422,86479,0.4,09:48:00
2025-05-29,TSLA,605798,366804,0.61,09:48:00
2025-05-29,AMC,99365,36385,0.37,09:48:00
2025-05-29,AAPL,168789,102653,0.61,09:48:00
2025-05-29,NVDA,1082079,723365,0.67,09:48:00
2025-05-29,BYSI,215,0,0,09:48:00
2025-05-29,SLSR,1474,0,0,09:48:00
2025-05-29,STKS,81,702,8.67,09:48:00
2025-05-29,GAIN,2,5,2.5,09:48:00
2025-05-29,IMMP,8,1,0.12,09:48:00
2025-05-29,GME,189258,34503,0.18,14:38:00
2025-05-29,TSLA,560300,353995,0.63,14:38:00
2025-05-29,AMC,35672,7637,0.21,14:38:00
2025-05-29,AAPL,252563,103093,0.41,14:38:00
2025-05-29,NVDA,1353994,972809,0.72,14:38:00
2025-05-29,BYSI,215,0,0,14:38:00
2025-05-29,SLSR,1474,0,0,14:38:00
2025-05-29,STKS,81,702,8.67,14:38:00
2025-05-29,GAIN,10,5,0.5,14:38:00
2025-05-29,IMMP,12,10,0.83,14:38:00
2025-05-29,GME,209421,41067,0.2,22:57:00
2025-05-29,TSLA,713695,461128,0.65,22:57:00
2025-05-29,AMC,39319,8689,0.22,22:57:00
2025-05-29,AAPL,308315,161803,0.52,22:57:00
2025-05-29,NVDA,1653157,1205601,0.73,22:57:00
2025-05-29,BYSI,215,0,0,22:57:00
2025-05-29,SLSR,1474,0,0,22:57:00
2025-05-29,STKS,171,702,4.11,22:57:00
2025-05-29,GAIN,10,11,1.1,22:57:00
2025-05-29,IMMP,12,10,0.83,22:57:00
2025-05-30,GME,48869,17063,0.35,11:42:00
2025-05-30,TSLA,496092,298358,0.6,11:42:00
2025-05-30,AMC,16221,4027,0.25,11:42:00
2025-05-30,AAPL,88599,59244,0.67,11:42:00
2025-05-30,NVDA,688879,397740,0.58,11:42:00
2025-05-30,BYSI,1,0,0,11:42:00
2025-05-30,SLSR,1474,0,0,11:42:00
2025-05-30,STKS,251,702,2.8,11:42:00
2025-05-30,GAIN,14,11,0.79,11:42:00
2025-05-30,IMMP,12,10,0.83,11:42:00
2025-05-30,GME,86911,30551,0.35,15:32:00
2025-05-30,TSLA,1241497,776626,0.63,15:32:00
2025-05-30,AMC,26101,9550,0.37,15:32:00
2025-05-30,AAPL,164915,120404,0.73,15:32:00
2025-05-30,NVDA,1510517,831967,0.55,15:32:00
2025-05-30,BYSI,1,0,0,15:32:00
2025-05-30,SLSR,1474,0,0,15:32:00
2025-05-30,STKS,251,702,2.8,15:32:00
2025-05-30,GAIN,14,11,0.79,15:32:00
2025-05-30,IMMP,12,12,1,15:32:00
2025-05-30,GME,56801,17452,0.31,22:30:00
2025-05-30,TSLA,510731,437154,0.86,22:30:00
2025-05-30,AMC,37920,9368,0.25,22:30:00
2025-05-30,AAPL,136234,80276,0.59,22:30:00
2025-05-30,NVDA,874473,428693,0.49,22:30:00
2025-05-30,BYSI,1,0,0,22:30:00
2025-05-30,SLSR,1474,0,0,22:30:00
2025-05-30,STKS,251,702,2.8,22:30:00
2025-05-30,GAIN,15,11,0.73,22:30:00
2025-05-30,IMMP,12,13,1.08,22:30:00
2025-06-02,GME,25030,7268,0.29,10:47:00
2025-06-02,TSLA,194037,171050,0.88,10:47:00
2025-06-02,AMC,21558,6025,0.28,10:47:00
2025-06-02,AAPL,51282,25596,0.5,10:47:00
2025-06-02,NVDA,227536,132150,0.58,10:47:00
2025-06-02,BYSI,1,0,0,10:47:00
2025-06-02,SLSR,1474,0,0,10:47:00
2025-06-02,STKS,251,702,2.8,10:47:00
2025-06-02,GAIN,15,11,0.73,10:47:00
2025-06-02,IMMP,12,13,1.08,10:47:00
2025-06-02,GME,47217,18712,0.4,14:11:00
2025-06-02,TSLA,445062,363521,0.82,14:11:00
2025-06-02,AMC,34247,7790,0.23,14:11:00
2025-06-02,AAPL,113100,49756,0.44,14:11:00
2025-06-02,NVDA,501934,282804,0.56,14:11:00
2025-06-02,BYSI,1,0,0,14:11:00
2025-06-02,SLSR,1474,0,0,14:11:00
2025-06-02,STKS,11,702,63.82,14:11:00
2025-06-02,GAIN,35,11,0.31,14:11:00
2025-06-02,IMMP,12,13,1.08,14:11:00
2025-06-02,GME,72936,22377,0.31,16:55:00
2025-06-02,TSLA,586554,443848,0.76,16:55:00
2025-06-02,AMC,40468,9085,0.22,16:55:00
2025-06-02,AAPL,145533,63634,0.44,16:55:00
2025-06-02,NVDA,677993,421125,0.62,16:55:00
2025-06-02,BYSI,1,0,0,16:55:00
2025-06-02,SLSR,1474,0,0,16:55:00
2025-06-02,STKS,11,702,63.82,16:55:00
2025-06-02,GAIN,46,11,0.24,16:55:00
2025-06-02,IMMP,2,13,6.5,16:55:00
2025-06-03,GME,35099,7303,0.21,14:19:00
2025-06-03,TSLA,508534,283187,0.56,14:19:00
2025-06-03,AMC,14733,5445,0.37,14:19:00
2025-06-03,AAPL,133391,47170,0.35,14:19:00
2025-06-03,NVDA,768958,405273,0.53,14:19:00
2025-06-03,BYSI,1,0,0,14:19:00
